0 0 4193 1212 0 4202 1182
3 0,000944 6277 1332 0,001835 6294 1336
19 0,003055 10573 2140 0,003821 10267 2020
35 0,014751 41871 4652 0,014662 34035 4638
51 0,043252 200311 11227 0,040439 91276 14384
67 0,098895 564963 21726 0,113105 345589 19555
83 0,183340 858241 45286 0,180386 431789 44314
99 0,315354 1711670 63188 0,308467 1019298 63326
115 0,494803 2642867 148227 0,477994 1131639 145194
131 0,668660 3658845 285487 0,709093 1769670 279212
147 0,921195 5570680 375898 1,013751 2733635 386734
163 1,255350 7717493 498869 1,382587 3972385 503578
179 1,664652 10216132 616842 1,827013 5023379 611983
195 2,141059 12803503 854191 2,358127 6307321 722992
211 2,719328 16579684 947215 2,983617 7601516 1002285
227 3,515374 19570793 1135238 3,730247 7506624 1159419
243 4,238129 23868481 1355144 4,637352 9984157 1400258
259 5,045814 28861492 1613524 5,494935 11977788 1619267
275 6,039484 34553818 1886434 6,622059 14654989 1889878
291 7,182404 41099243 2194196 7,798352 17716031 2248615
307 8,419450 47178487 2783539 9,162115 21202054 2282845
323 9,912616 59515639 2911648 10,697118 26426603 2949593
339 11,457934 68573183 3317998 12,401273 30723058 3384202
355 13,210196 78578029 3762226 14,204878 34972582 3812927
371 15,122045 89455630 4236679 16,241627 41591981 4250217
387 18,462622 101438859 4759937 16,690722 46843477 4738859
403 18,949270 114094779 5324276 19,930260 52874226 5337886
419 21,619696 127290860 6072304 22,763714 59670030 5976492
435 24,785007 142904443 6578132 25,068691 66424995 6590842
451 26,659615 158944460 7268335 27,969624 77062765 7282121
467 29,704735 176229000 8004716 31,186020 85534128 8155982
483 33,374634 190481678 8763106 34,324814 87150666 8872318
499 36,279411 217375524 9599688 37,964069 103932645 9688230
515 40,058228 239215465 10507305 41,697327 114059284 10606717
