0 0 2642 873 0 2648 842
3 0,000941 4332 961 0,001859 4339 966
19 0,002971 5292 1295 0,003783 5774 1356
35 0,014500 20236 2484 0,014349 16228 2609
51 0,042823 122614 6542 0,039686 51560 7357
67 0,093002 168375 11446 0,112364 107517 10743
83 0,180512 688386 31054 0,178452 282532 30595
99 0,309884 1388880 33843 0,305554 783513 38132
115 0,491273 1592755 98677 0,472915 766346 99926
131 0,672527 2593847 215085 0,716784 1193781 204933
147 0,908398 4549108 269391 0,997351 1798809 286200
163 1,244120 6338984 360755 1,361001 2589559 361761
179 1,666795 7975483 437914 1,798849 3269321 433499
195 2,193775 10754497 485517 2,348159 3964328 490928
211 2,785963 13775119 649563 2,947470 5097033 683563
227 3,385055 15543748 771683 3,638006 4539507 788852
243 4,059228 20243344 1009097 4,458919 5650950 843386
259 4,953702 25569748 1088985 5,392560 6825308 1106936
275 5,940026 30710183 1261770 6,459669 8403546 1267816
291 7,055470 36513907 1453677 7,654295 10216642 1461694
307 8,377915 40741192 1790114 8,994908 12284151 1525397
323 9,720876 49615216 1906479 10,483240 14439831 1890543
339 11,278880 57186187 2129376 12,131586 16838865 2112307
355 12,816683 63139995 1313546 13,935515 18648437 1624268
371 14,670055 71839245 1464957 15,867690 22914558 1540588
387 18,100821 83772931 1841108 16,310509 25486904 1925190
403 18,509880 95425800 3369516 19,518152 29488499 3321527
419 20,783421 104556311 2430449 21,844093 31760586 2421384
435 23,442522 119661297 4096265 24,486328 36345759 4059171
451 26,169958 133314475 4509158 27,363598 43365113 4524060
467 29,365660 147858307 4951405 30,449291 47851095 5044519
483 32,653732 160850508 5810620 33,567806 53626191 5890608
499 35,592968 187728886 5815530 37,089958 61163003 5725339
515 39,695202 206561613 6346880 40,793072 67258599 6453725
