0 0 6041 1618 0 5981 1676
3 0,000938 8592 1872 0,001843 8614 1874
19 0,003203 23813 4916 0,003919 23363 4872
35 0,014886 99766 8047 0,014828 63414 8422
51 0,043893 280910 20844 0,042023 184688 26653
67 0,100306 754576 42348 0,114735 472186 42612
83 0,189658 1354240 77716 0,188199 880171 77993
99 0,323295 2325987 132279 0,318187 1437617 126537
115 0,501066 3156276 241499 0,492336 1935575 234566
131 0,687425 4643781 407822 0,722945 2665314 409613
147 0,953924 6977943 553116 1,037501 4067537 561706
163 1,302556 9737416 764360 1,417632 5914908 776046
179 1,725586 12887341 952108 1,880134 8072578 934131
195 2,225827 16545613 1196239 2,432080 10712521 1164667
211 2,815404 20837687 1483843 3,077781 13479597 1512577
227 3,643106 24845771 1804107 3,820381 15030880 1815644
243 4,400215 32105595 2178355 4,723334 20172637 2211991
259 5,318616 38754206 2617242 5,681406 24228966 2642415
275 6,279658 45873418 3155913 6,800651 28680761 3183004
291 7,448734 54066642 3760993 8,054114 33664908 3811471
307 8,766880 63296162 4475676 9,465192 40546922 4448625
323 10,262964 76242011 5163925 11,068953 48318464 5164418
339 11,857033 87497990 5974161 12,821531 55617162 6071386
355 14,114300 97636775 6829609 14,866646 59210390 6910876
371 16,343840 110812344 7789255 16,975748 68789440 7802737
387 19,655951 125413813 8825834 17,082504 77445724 8855884
403 20,199240 144081146 9942115 20,720617 88616007 10016004
419 22,002300 163342732 11227937 23,152348 101012195 11457745
435 24,738085 182357311 12455195 25,905872 114549720 12396915
451 27,821779 202592809 13830172 29,068270 129437516 13680427
467 30,680891 224358215 15303017 32,064865 143101383 15462278
483 34,390640 243242774 16825980 35,693954 150132176 16885899
499 37,345406 274962944 18496239 39,131943 172342568 18641720
515 41,619789 301951449 20308763 43,081001 188467210 20398204
