3 0.000001 0.000008 0.000064 0.000066 0.000115
35 0.000435 0.000468 0.000564 0.001591 0.002288
67 0.001993 0.002768 0.001844 0.002834 0.002924
99 0.006982 0.010692 0.006863 0.006484 0.007012
131 0.017485 0.019372 0.010539 0.011969 0.010586
163 0.027891 0.035224 0.018695 0.024642 0.027670
195 0.053018 0.067326 0.033835 0.038836 0.040212
227 0.083328 0.103024 0.057412 0.052408 0.057096
259 0.120905 0.155501 0.077251 0.091308 0.079305
291 0.179140 0.227630 0.117847 0.131173 0.140621
323 0.299213 0.427239 0.175472 0.190649 0.250713
355 0.465427 0.524331 0.351152 0.217691 0.222943
387 0.493253 0.719763 0.314547 0.327772 0.286813
419 0.815544 0.908305 0.428374 0.450778 0.418296
451 1.003586 1.253827 0.586029 0.591105 0.596180
483 1.413207 1.703658 0.803143 0.865804 0.755534
515 1.855022 2.258081 1.086216 1.059395 1.010180
547 2.529096 2.919393 0.951355 1.393282 1.361184
579 3.413943 3.814525 1.336597 1.765998 1.655323
611 2.892281 3.430703 1.712439 1.687829 2.108748
643 3.695834 4.316108 2.672482 2.100066 2.025411
675 4.749606 5.350076 3.127891 3.046791 2.509001
707 5.355869 6.389942 3.184515 3.119629 2.953687
739 6.253941 7.512955 3.751123 3.516917 3.419303
771 6.944762 8.966376 4.169624 4.627028 4.727470
803 8.230622 9.455165 4.853983 4.664829 4.409016
835 9.185173 11.225590 5.666977 5.553145 4.990366
867 10.152355 12.119635 6.179992 5.717561 5.582765
899 12.121481 13.396032 6.738590 7.130462 6.400932
931 13.168713 14.827139 7.300689 7.671213 6.928934
963 13.639639 16.494822 8.059948 8.340454 7.911521
995 15.336469 18.002810 8.954873 8.586422 8.638267
1027 16.461475 19.815607 9.818408 9.496137 10.187186
