1000 0.000005 0.000021 0.000090 0.000101 0.001463 
2000 0.000010 0.000027 0.000116 0.001563 0.000126 
5000 0.000023 0.000041 0.000106 0.000177 0.001132 
10000 0.000045 0.000057 0.000111 0.000154 0.002681 
20000 0.000101 0.000115 0.000120 0.001446 0.000254 
30000 0.000160 0.000169 0.000709 0.000229 0.000759 
40000 0.000168 0.000190 0.000832 0.000372 0.000200 
50000 0.000228 0.000244 0.000312 0.000329 0.000445 
100000 0.000413 0.000382 0.000591 0.000340 0.001733 
